0,1,"1970-01-01 00:00:01","2038-01-01 00:00:00",\N," "," "," "," "," "," "
1,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",0,"AC","ACRELANDIA","69945000","AVENIDA BRASIL, 591 - CENTRO. ACRELANDIA - AC. CEP: 69945-000","CENTRO","MUNICIPIO DE ACRELANDIA"
2,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",1,"AC","ASSIS BRASIL","69935000","AVENIDA RAIMUNDO CHAAR, 362 - CENTRO. ASSIS BRASIL - AC. CEP: 69935-000","CENTRO","MUNICIPIO DE ASSIS BRASIL"
3,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",2,"AC","BRASILEIA","69932000","AVENIDA PREFEITO ROLANDO MOREIRA, 198 - CENTRO. BRASILEIA - AC. CEP: 69932-000","CENTRO","MUNICIPIO DE BRASILEIA"
4,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",3,"AC","BUJARI","69923000","RAMAL DO GAVIAO, KM 2,  BR 364, KM 82, S/N - ZONA RURAL. BUJARI - AC. CEP: 69923-000","ZONA RURAL","INSTITUTO RESTAURACAO DE VIDAS, IRV"
5,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",4,"AC","BUJARI","69926000","RODOVIA BR 364 KM 28, 900 - CENTRO. BUJARI - AC. CEP: 69926-000","CENTRO","MUNICIPIO DE BUJARI"
6,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",5,"AC","CAPIXABA","69922000","AVENIDA PRINCIPAL, 001 - CENTRO. CAPIXABA - AC. CEP: 69922-000","CENTRO","MUNICIPIO DE CAPIXABA"
7,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",6,"AC","CRUZEIRO DO SUL","69980000","AVENIDA COPACABANA, 1810 - FLORESTA. CRUZEIRO DO SUL - AC. CEP: 69980-000","FLORESTA","OBRA SOCIAL NOSSA SENHORA DA GLORIA - FAZENDA DA ESPERANCA"
8,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",7,"AC","CRUZEIRO DO SUL","69980000","AVENIDA LAURO MULLER, 3490 - CENTRO. CRUZEIRO DO SUL - AC. CEP: 69980-000","CENTRO","ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE"
9,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",8,"AC","CRUZEIRO DO SUL","69980000","RAMAL MONTEIROS, 248, KM 01                     CHACARA TERRA VERDE - ZONA RURAL. CRUZEIRO DO SUL - AC. CEP: 69980-000","ZONA RURAL","CENTRO DE RECUPERACAO CASA REVIVER"
10,1,"1970-01-01 00:00:00","2037-12-31 23:59:59",9,"AC","CRUZEIRO DO SUL","69980000","RUA LEOPOLDO DE BULHOES, 856 - TELEGRAFO. CRUZEIRO DO SUL - AC. CEP: 69980-000","TELEGRAFO","DESAFIO JOVEM PENIEL"
